ID,X,Y,ATTRIBUTE,WEIGHT,PREDICTION
56693.0,-99.58476,29.824038,1.0,1.0,0.0
56694.0,-99.572914,29.83072,1.0,1.0,0.0
56695.0,-98.48276,29.860376,1.0,1.0,0.0
56696.0,-98.36648,26.1798,1.0,1.0,0.0
56697.0,-98.26242,29.218191,1.0,1.0,0.0
56698.0,-98.24232,29.610239,1.0,1.0,0.0
56699.0,-97.988235,26.14719,1.0,1.0,0.0
56700.0,-97.75854,30.417973,1.0,1.0,0.0
56701.0,-97.42215,27.790735,1.0,1.0,0.0
56703.0,-97.35815,27.681057,1.0,1.0,0.0
56704.0,-97.32829,27.67024,1.0,1.0,0.0
56705.0,-97.30758,31.471838,1.0,1.0,0.0
56706.0,-97.219734,27.624775,1.0,1.0,0.0
56707.0,-97.19446,35.22529,1.0,1.0,0.0
56717.0,-96.17903,19.207842,1.0,1.0,0.0
56718.0,-96.10792,29.812021,1.0,1.0,0.0
56719.0,-95.99968,41.18465,1.0,1.0,0.0
56720.0,-95.76553,29.80664,1.0,1.0,0.0
56721.0,-95.694664,30.283566,1.0,1.0,0.0
56722.0,-95.62722,29.370626,1.0,1.0,0.0
56723.0,-95.3955,29.72016,1.0,1.0,0.0
56724.0,-95.322876,32.5879,1.0,1.0,0.0
56725.0,-94.72653,38.9248,1.0,1.0,0.0
56727.0,-94.39264,29.572044,1.0,1.0,0.0
56728.0,-94.39033,29.572468,1.0,1.0,0.0
56729.0,-94.3898,29.562214,1.0,1.0,0.0
56730.0,-94.28659,33.86633,1.0,1.0,0.0
56731.0,-93.70892,41.54445,1.0,1.0,0.0
56736.0,-93.256546,30.295652,1.0,1.0,0.0
56737.0,-93.14415,31.517532,1.0,1.0,0.0
56738.0,-92.77244,37.974144,1.0,1.0,0.0
56739.0,-92.28443,38.83267,1.0,1.0,0.0
56740.0,-91.58733,43.64588,1.0,1.0,0.0
56741.0,-91.57694,43.63982,1.0,1.0,0.0
56742.0,-91.53536,30.418571,1.0,1.0,0.0
56743.0,-91.42447,31.350744,1.0,1.0,0.0
56744.0,-91.36393,30.998005,1.0,1.0,0.0
56745.0,-90.02911,43.67499,1.0,1.0,0.0
56746.0,-90.02613,35.36397,1.0,1.0,0.0
56747.0,-89.991,35.145294,1.0,1.0,0.0
56748.0,-89.98968,35.145412,1.0,1.0,0.0
56749.0,-89.98868,35.146744,1.0,1.0,0.0
56750.0,-89.98733,35.146294,1.0,1.0,0.0
56751.0,-89.98603,35.1486,1.0,1.0,0.0
56752.0,-89.98439,35.148033,1.0,1.0,0.0
56753.0,-89.83218,35.64397,1.0,1.0,0.0
56754.0,-89.50671,37.83646,1.0,1.0,0.0
56755.0,-89.440155,36.552246,1.0,1.0,0.0
56756.0,-89.34327,37.648647,1.0,1.0,0.0
56757.0,-89.27287,39.106556,1.0,1.0,0.0
56758.0,-89.21339,31.323502,1.0,1.0,0.0
56759.0,-89.200455,37.625263,1.0,1.0,0.0
56760.0,-89.110756,36.254734,1.0,1.0,0.0
56761.0,-89.09223,31.342743,1.0,1.0,0.0
56762.0,-88.75525,30.888695,1.0,1.0,0.0
56763.0,-88.691,37.48592,1.0,1.0,0.0
56764.0,-88.65175,30.743732,1.0,1.0,0.0
56765.0,-88.30361,14.587414,1.0,1.0,0.0
56766.0,-88.1841,34.602337,1.0,1.0,0.0
56767.0,-88.10778,30.256205,1.0,1.0,0.0
56768.0,-88.02061,14.831027,1.0,1.0,0.0
56770.0,-87.85413,31.133371,1.0,1.0,0.0
56771.0,-87.846596,41.677143,1.0,1.0,0.0
56772.0,-87.743866,41.979904,1.0,1.0,0.0
56773.0,-87.68542,41.923237,1.0,1.0,0.0
56774.0,-87.237175,32.696926,1.0,1.0,0.0
56775.0,-86.67609,32.34961,1.0,1.0,0.0
56776.0,-85.22519,39.58959,1.0,1.0,0.0
56777.0,-85.15155,35.008545,1.0,1.0,0.0
56778.0,-84.92536,43.561928,1.0,1.0,0.0
56779.0,-84.92419,43.56209,1.0,1.0,0.0
56780.0,-84.83244,42.356667,1.0,1.0,0.0
56781.0,-84.74375,40.105618,1.0,1.0,0.0
56782.0,-84.59387,42.600735,1.0,1.0,0.0
56783.0,-84.356804,30.308634,1.0,1.0,0.0
56784.0,-84.29576,37.7166,1.0,1.0,0.0
56785.0,-84.28436,30.530813,1.0,1.0,0.0
56786.0,-84.26384,30.205296,1.0,1.0,0.0
56787.0,-84.16777,39.618443,1.0,1.0,0.0
56789.0,-84.14093,30.144945,1.0,1.0,0.0
56790.0,-84.12296,31.64376,1.0,1.0,0.0
56791.0,-84.119804,42.185856,1.0,1.0,0.0
56792.0,-84.10476,30.424955,1.0,1.0,0.0
56793.0,-84.09652,39.618233,1.0,1.0,0.0
56794.0,-84.08067,42.329857,1.0,1.0,0.0
56795.0,-83.601456,32.83754,1.0,1.0,0.0
56796.0,-83.556435,40.842304,1.0,1.0,0.0
56797.0,-83.54009,35.687126,1.0,1.0,0.0
56798.0,-83.53721,31.160925,1.0,1.0,0.0
56799.0,-83.454506,36.90587,1.0,1.0,0.0
56800.0,-83.385086,39.269577,1.0,1.0,0.0
56801.0,-83.01788,40.019867,1.0,1.0,0.0
56802.0,-82.979546,29.488825,1.0,1.0,0.0
56803.0,-82.97709,29.489506,1.0,1.0,0.0
56805.0,-82.60396,8.681076,1.0,1.0,0.0
56807.0,-82.56403,36.049187,1.0,1.0,0.0
56808.0,-82.56165,36.0485,1.0,1.0,0.0
56809.0,-82.12294,39.498264,1.0,1.0,0.0
56810.0,-82.035576,33.422142,1.0,1.0,0.0
56811.0,-81.88711,41.410694,1.0,1.0,0.0
56812.0,-81.82626,26.57042,1.0,1.0,0.0
56813.0,-81.79168,26.71145,1.0,1.0,0.0
56814.0,-81.65522,33.096176,1.0,1.0,0.0
56815.0,-81.63015,40.931313,1.0,1.0,0.0
56816.0,-81.628586,40.93218,1.0,1.0,0.0
56817.0,-81.585884,41.319023,1.0,1.0,0.0
56818.0,-81.58583,41.3182,1.0,1.0,0.0
56819.0,-81.58566,41.32128,1.0,1.0,0.0
56820.0,-81.55542,41.229942,1.0,1.0,0.0
56821.0,-81.54564,41.209595,1.0,1.0,0.0
56822.0,-81.09038,40.819668,1.0,1.0,0.0
56823.0,-81.01673,35.101093,1.0,1.0,0.0
56824.0,-80.91901,36.68,1.0,1.0,0.0
56825.0,-80.82109,33.822742,1.0,1.0,0.0
56826.0,-80.75202,35.149082,1.0,1.0,0.0
56827.0,-80.418785,25.6583,1.0,1.0,0.0
56828.0,-80.34761,32.68223,1.0,1.0,0.0
56829.0,-80.34642,32.68059,1.0,1.0,0.0
56830.0,-80.30815,25.735048,1.0,1.0,0.0
56831.0,-80.299614,36.15544,1.0,1.0,0.0
56832.0,-80.22445,36.39178,1.0,1.0,0.0
56833.0,-80.15015,40.569855,1.0,1.0,0.0
56834.0,-80.10421,40.332825,1.0,1.0,0.0
56837.0,-79.83942,40.31617,1.0,1.0,0.0
56838.0,-79.724396,9.1313095,1.0,1.0,0.0
56839.0,-79.715385,9.127982,1.0,1.0,0.0
56840.0,-79.64596,9.0672455,1.0,1.0,0.0
56841.0,-79.59224,8.9013,1.0,1.0,0.0
56843.0,-79.54746,8.988923,1.0,1.0,0.0
56844.0,-79.53271,8.994551,1.0,1.0,0.0
56845.0,-79.507126,40.71018,1.0,1.0,0.0
56846.0,-79.46916,9.009458,1.0,1.0,0.0
56847.0,-79.466064,47.59221,1.0,1.0,0.0
56848.0,-79.045204,35.889782,1.0,1.0,0.0
56849.0,-79.0226,35.842255,1.0,1.0,0.0
56850.0,-78.83154,35.780693,1.0,1.0,0.0
56851.0,-78.78587,35.726234,1.0,1.0,0.0
56852.0,-78.224556,37.305115,1.0,1.0,0.0
56853.0,-78.11089,0.35290518,1.0,1.0,0.0
56854.0,-78.02576,43.09239,1.0,1.0,0.0
56855.0,-77.9248,39.352055,1.0,1.0,0.0
56857.0,-77.52249,37.218983,1.0,1.0,0.0
56858.0,-77.51039,37.543736,1.0,1.0,0.0
56859.0,-77.46732,37.524166,1.0,1.0,0.0
56861.0,-77.40891,38.768204,1.0,1.0,0.0
56862.0,-77.30408,38.76062,1.0,1.0,0.0
56863.0,-77.13428,39.29221,1.0,1.0,0.0
56864.0,-77.12279,38.919933,1.0,1.0,0.0
56865.0,-77.12226,38.86069,1.0,1.0,0.0
56866.0,-77.12184,38.919292,1.0,1.0,0.0
56867.0,-77.121315,38.919186,1.0,1.0,0.0
56868.0,-77.11592,38.922935,1.0,1.0,0.0
56869.0,-76.832306,39.15248,1.0,1.0,0.0
56870.0,-76.83195,39.15215,1.0,1.0,0.0
56871.0,-76.787224,37.248188,1.0,1.0,0.0
56872.0,-76.73749,39.28894,1.0,1.0,0.0
56873.0,-76.72536,39.04045,1.0,1.0,0.0
56874.0,-76.71031,39.251972,1.0,1.0,0.0
56875.0,-76.70454,38.7818,1.0,1.0,0.0
56876.0,-76.70096,38.7827,1.0,1.0,0.0
56877.0,-76.6993,36.436584,1.0,1.0,0.0
56878.0,-76.696976,38.94358,1.0,1.0,0.0
56879.0,-76.68934,38.858154,1.0,1.0,0.0
56880.0,-76.68002,38.93611,1.0,1.0,0.0
56881.0,-76.613846,39.40112,1.0,1.0,0.0
56882.0,-76.54888,38.88685,1.0,1.0,0.0
56883.0,-76.547646,39.416435,1.0,1.0,0.0
56884.0,-76.459206,38.44822,1.0,1.0,0.0
